STATE,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN
ILLINOIS,USC00116849,"PLAINFIELD 3 NE, IL US",41.6386,-88.1881,187.5,2016,,40.57,,,,
ILLINOIS,US1ILOG0004,"BYRON 3.2 N, IL US",42.1747,-89.2678,224.9,2016,,35.86,23.3,,,
ILLINOIS,US1ILMD0033,"TROY 1.5 SSE, IL US",38.711144,-89.884224,172.2,2016,,45.8,,,,
ILLINOIS,USC00116970,"PRAIRIE CITY 2 S, IL US",40.5913,-90.4641,198.1,2016,,32.01,11.6,54.5,64,45
ILLINOIS,USC00110072,"ALEDO, IL US",41.1977,-90.7447,222.5,2016,,37.07,18.6,,,
ILLINOIS,USC00116998,"PRINCETON, IL US",41.366,-89.452,212.4,2016,,37.43,27.4,51.7,61.1,42.2
ILLINOIS,USC00116753,"PERU, IL US",41.3503,-89.1072,189,2016,,,,51.7,61.2,42.3
ILLINOIS,USC00116874,"PLUMFIELD, IL US",37.89487,-89.00911,119.8,2016,,47.66,,,,
ILLINOIS,US1ILPT0013,"MANSFIELD 3.0 WSW, IL US",40.189041,-88.558361,218.8,2016,,44.55,,,,
ILLINOIS,USW00054808,"CHAMPAIGN 9 SW, IL US",40.0528,-88.3729,213.4,2016,,37.33,,53.5,63.4,43.7
ILLINOIS,US1ILLK0069,"HIGHWOOD 0.9 S, IL US",42.19841003,-87.81398773,210,2016,,41.49,38.7,,,
ILLINOIS,US1ILCP0104,"HOMER 2.0 NW, IL US",40.053922,-87.983999,200.9,2016,,42.62,,,,
ILLINOIS,US1ILCP0103,"CHAMPAIGN 0.3 NNW, IL US",40.117062,-88.266563,233.5,2016,,41.86,,,,
ILLINOIS,USC00113490,"GLEN ELLYN 4 S, IL US",41.8266,-88.058,208.8,2016,,41.92,,,,
ILLINOIS,US1ILDK0005,"CORTLAND 0.3 SSW, IL US",41.917352,-88.689079,274,2016,,33.64,,,,
ILLINOIS,USC00115430,"MATTOON, IL US",39.4726,-88.3545,213.7,2016,,37.17,12.9,,,
ILLINOIS,USC00112145,"DANVILLE SEWAGE PLANT, IL US",40.1019,-87.5961,163.4,2016,,46.04,,,,
ILLINOIS,USW00054811,"SHABBONA 5 NNE, IL US",41.843,-88.8513,262.4,2016,,36.74,,50.1,59.5,40.7
ILLINOIS,USC00117833,"SHABBONA 3 S, IL US",41.73272,-88.86425,259.1,2016,,38.07,,,,
ILLINOIS,USC00114447,"JACKSONVILLE 2, IL US",39.7133,-90.2285,190.8,2016,,32.02,,55.1,65.6,44.5
